location;year_month;new_cases;new_deaths;stringency_index;human_development_index;deaths_rate
Afghanistan;2020-01;0;0;0;51,1;0
Afghanistan;2020-02;0;0;8,33;51,1;0
Afghanistan;2020-03;91;2;67,59;51,1;2,197802198
Afghanistan;2020-04;1239;41;84,26;51,1;3,309120258
Afghanistan;2020-05;13113;205;84,26;51,1;1,563334096
Afghanistan;2020-06;16173;455;84,26;51,1;2,81333086
Afghanistan;2020-07;5420;543;78,7;51,1;10,01845018
Afghanistan;2020-08;2107;156;78,7;51,1;7,403891789
Afghanistan;2020-09;1049;51;28,7;51,1;4,861773117
Afghanistan;2020-10;1576;58;28,7;51,1;3,680203046
Afghanistan;2020-11;5198;241;12,04;51,1;4,636398615
Afghanistan;2020-12;5882;406;12,04;51,1;6,902414145
Africa;2020-01;0;0;0;0;0
Africa;2020-02;1;0;0;0;0
Africa;2020-03;4565;140;0;0;3,066812705
Africa;2020-04;26756;1625;0;0;6,073404096
Africa;2020-05;113256;2652;0;0;2,341597796
Africa;2020-06;234371;7537;0;0;3,21584155
Africa;2020-07;457877;8326;0;0;1,818392276
Africa;2020-08;406714;11710;0;0;2,87917308
Africa;2020-09;218213;5890;0;0;2,699197573
Africa;2020-10;259853;5203;0;0;2,002285908
Africa;2020-11;444833;8941;0;0;2,009967786
Africa;2020-12;496013;10613;0;0;2,139661662
Albania;2020-01;0;0;0;79,5;0
Albania;2020-02;0;0;8,33;79,5;0
Albania;2020-03;186;8;84,26;79,5;4,301075269
Albania;2020-04;492;19;89,81;79,5;3,861788618
Albania;2020-05;421;6;89,81;79,5;1,425178147
Albania;2020-06;1170;18;71,3;79,5;1,538461538
Albania;2020-07;2301;77;68,52;79,5;3,346371143
Albania;2020-08;4625;143;62,96;79,5;3,091891892
Albania;2020-09;3850;102;54,63;79,5;2,649350649
Albania;2020-10;5511;96;54,63;79,5;1,741970604
Albania;2020-11;17689;302;65,74;79,5;1,707275708
Albania;2020-12;19135;363;65,74;79,5;1,897047296
Algeria;2020-01;0;0;0;74,8;0
Algeria;2020-02;0;0;0;74,8;0
Algeria;2020-03;454;30;86,57;74,8;6,607929515
Algeria;2020-04;2802;386;92,13;74,8;13,77587438
Algeria;2020-05;6011;227;87,96;74,8;3,776409915
Algeria;2020-06;3701;237;76,85;74,8;6,403674683
Algeria;2020-07;13796;254;79,63;74,8;1,841113366
Algeria;2020-08;17018;355;87,96;74,8;2,08602656
Algeria;2020-09;7132;220;75,93;74,8;3,084688727
Algeria;2020-10;4716;188;75,93;74,8;3,986429177
Algeria;2020-11;25582;496;75;74,8;1,938863263
Algeria;2020-12;16645;329;72,22;74,8;1,97656954
American Samoa;2020-01;0;0;0;0;0
American Samoa;2020-02;0;0;0;0;0
American Samoa;2020-03;0;0;0;0;0
American Samoa;2020-04;0;0;0;0;0
American Samoa;2020-05;0;0;0;0;0
American Samoa;2020-06;0;0;0;0;0
American Samoa;2020-07;0;0;0;0;0
American Samoa;2020-08;0;0;0;0;0
American Samoa;2020-09;0;0;0;0;0
American Samoa;2020-10;0;0;0;0;0
American Samoa;2020-11;0;0;0;0;0
American Samoa;2020-12;0;0;0;0;0
Andorra;2020-01;0;0;0;86,8;0
Andorra;2020-02;0;0;0;86,8;0
Andorra;2020-03;341;6;53,7;86,8;1,759530792
Andorra;2020-04;397;34;56,48;86,8;8,564231738
Andorra;2020-05;26;11;52,78;86,8;42,30769231
Andorra;2020-06;91;1;42,59;86,8;1,098901099
Andorra;2020-07;42;0;41,67;86,8;0
Andorra;2020-08;227;1;41,67;86,8;0,440528634
Andorra;2020-09;712;0;50;86,8;0
Andorra;2020-10;2202;16;55,56;86,8;0,726612171
Andorra;2020-11;2572;7;55,56;86,8;0,272161742
Andorra;2020-12;1196;7;55,56;86,8;0,585284281
Angola;2020-01;0;0;0;58,1;0
Angola;2020-02;0;0;5,56;58,1;0
Angola;2020-03;0;0;90,74;58,1;0
Angola;2020-04;25;0;90,74;58,1;0
Angola;2020-05;59;4;81,48;58,1;6,779661017
Angola;2020-06;175;6;77,78;58,1;3,428571429
Angola;2020-07;657;29;79,17;58,1;4,414003044
Angola;2020-08;1635;68;79,17;58,1;4,159021407
Angola;2020-09;2121;62;81,02;58,1;2,923149458
